"property_type","size_sqft","parking","elevator","floor","price_bdt","service_charge_bdt","year_built","building_registration_type","preferred_tenant","furnished","garage_size_sqft","front_road_size_ft","common_area_size_sqft","bedrooms","bathrooms","location","country"
"Residential Apartment","4300","2","2","3","350000","20000",2015,"Residential","Foreigner","Un-Furnished","240","16","450","5","6","Gulshan","Bangladesh"
"Commercial Space","1876","1","2","13","130000",NA,2010,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","30","150",NA,NA,"Banani","Bangladesh"
"Residential Apartment","4500","2","2","2","150000","18000",2017,"Residential","Foreigner","Un-Furnished","240","30","350","4","4","Gulshan","Bangladesh"
"Residential Apartment","3000","1","2","1","275000","20000",2017,"Residential","Foreigner","Furnished","120","24","220","3","3","Gulshan","Bangladesh"
"Commercial Space","3736","1","2","18","260000",NA,2012,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","40","210",NA,NA,"Banani","Bangladesh"
"Commercial Space","10000","1","2","5","1000000","100000",2012,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","40","650",NA,NA,"Banani","Bangladesh"
"Commercial Space","4300","2","2","8","516000","51600",2015,"Commercial","Corporate Office or MNC Office","Un-Furnished","240","40","320",NA,NA,"Banani","Bangladesh"
"Commercial Space","3100","1","2","4","300000","12000",2015,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","24","250",NA,NA,"Banani","Bangladesh"
"Residential Apartment","4400","2","2","5 & 6","250000","20000",2017,"Residential","Foreigner","Furnished","240","24","350","3","3","Gulshan","Bangladesh"
"Residential Apartment","3500","2","2","9","300000","20000",2015,"Residential","Foreigner","Furnished","240","24","250","4","4","Gulshan","Bangladesh"
"Commercial Space","3200","1","1","4","384000","32000",2010,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","15","250",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","3700","2","2","8","250000","15000",2015,"Residential","Foreigner","Furnished","240","30","250","4","4","Gulshan","Bangladesh"
"Commercial Space","1452","1","2","3","261360","21780",2021,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","30","150",NA,NA,"Banani","Bangladesh"
"Residential Apartment","3550","2","2","5","200000","15000",2010,"Residential","Foreigner","Un-Furnished","240","24","220","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Commercial Space","2250","1","1","6","160000","10000",2017,"Residential","Corporate Office or MNC Office","Un-Furnished","120","25","180",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","2905","1","2","4","435750","43575",2021,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","30","150",NA,NA,"Banani","Bangladesh"
"Commercial Space","5400","1","1","5","648000","54000",2010,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","15","450",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","2856","1","1","2","180000",NA,2015,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","15","250",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","79900","38","3","4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22 & 23","14000000","799000",2022,"Commercial","Corporate Office or MNC Office","Un-Furnished","4560","50",NA,NA,NA,"Gulshan","Bangladesh"
"Commercial Space","3300","5",NA,"2","200000","16500",2010,"Commercial","Corporate Office or MNC Office","Un-Furnished","600","20","250",NA,NA,"Banani","Bangladesh"
"Commercial Space","18500","5","2","2, 3, 4, 5 & 6","1250000","100000",2022,"Residential","Corporate Office or MNC Office","Un-Furnished","600","20","2500",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","1300","1",NA,"0","100000","7000",2020,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","15","150",NA,NA,"Banani","Bangladesh"
"Commercial Space","2800","1","2","3","560000","30000",2022,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","15","180",NA,NA,"Banani","Bangladesh"
"Commercial Space","4000","2","3","8","700000","40000",2022,"Commercial","Corporate Office or MNC Office","Un-Furnished","240","50","250",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","8147","2","2","14","651760","8147",2015,"Commercial","Corporate Office or MNC Office","Furnished","240","30","520",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","1200","1","2","6","80000","8500",2009,"Residential","Foreigner","Un-Furnished","120","24","120","1","2","Banani","Bangladesh"
"Residential Apartment","2400","1","2","4","135000",NA,2018,"Residential","Foreigner","Semi-Furnished","120","20","250","3","3","Baridhara Diplomatic Zone","Bangladesh"
"Commercial Space","3542","2","5","7","708400",NA,2016,"Commercial","Corporate Office or MNC Office","Un-Furnished","240","30","450",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","2750","2","1","1","105000","7500",2006,"Residential","Foreigner","Un-Furnished","240","16","210","4","4","Gulshan","Bangladesh"
"Residential Apartment","3700","2","2","3","200000","14000",2015,"Residential","Foreigner","Furnished","240","24","250","4","4","Gulshan","Bangladesh"
"Residential Apartment","2400","1","2","8","165000","10000",2016,"Residential","Foreigner","Furnished","120","24","250","4","3","Gulshan","Bangladesh"
"Residential Apartment","2200","1","2","3","100000","9000",2015,"Residential","Foreigner","Semi-Furnished","120","24","150","3","3","Banani","Bangladesh"
"Residential Apartment","2600","1","2","5","100000","8500",2009,"Residential","Foreigner","Un-Furnished","120","24","220","3","3","Banani","Bangladesh"
"Residential Apartment","2050","1","2","7","110000","12000",2015,"Residential","Foreigner","Furnished","120","16","250","3","3","Gulshan","Bangladesh"
"Residential Apartment","3500","2","2","5","220000",NA,2021,"Residential","Foreigner","Semi-Furnished","240","24","250","4","4","Gulshan","Bangladesh"
"Commercial Space","3700","1","2","5","250000","20000",2022,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","20","250",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","1850","1","2","3","129500","8000",2022,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","20","150",NA,NA,"Banani","Bangladesh"
"Residential Apartment","3100","2","2","2 & 6","250000",NA,2021,"Residential","Foreigner","Un-Furnished","240","16","260","4","4","Gulshan","Bangladesh"
"Commercial Space","1806","1","2","3","117390","8000",2022,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","20","140",NA,NA,"Banani","Bangladesh"
"Residential Apartment","3800","2","2","8","200000",NA,2018,"Residential","Foreigner","Furnished","240","16","320","4","4","Banani","Bangladesh"
"Commercial Space","3500","2","1","3","560000","52500",2016,"Commercial","Corporate Office or MNC Office","Un-Furnished","240","20","250",NA,NA,"Banani","Bangladesh"
"Residential Apartment","3200","1","2","5 & 8","250000",NA,2012,"Residential","Foreigner","Un-Furnished","120","25","250","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Commercial Space","4700","1","2","11","600000",NA,2020,"Commercial","Corporate Office or Restaurant","Furnished","120","30","320",NA,NA,"Banani","Bangladesh"
"Residential Apartment","3100","2","2","9","350000","20000",2021,"Residential","Foreigner","Furnished","240","25","350","4","4","Gulshan","Bangladesh"
"Commercial Space","5671","3","3","6","1077490","102078",2017,"Commercial","Corporate Office or MNC Office","Un-Furnished","360","40","450",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","2450","1","2","7","110000","10000",2010,"Residential","Foreigner","Un-Furnished","120","16","180","4","4","Banani","Bangladesh"
"Residential Apartment","2200","1","2","11","150000","15000",2021,"Residential","Foreigner","Un-Furnished","120","25","220","3","3","Gulshan","Bangladesh"
"Residential Apartment","2400","1","2","8","100000","17000",2015,"Residential","Foreigner","Semi-Furnished","120","24","200","3","3","Banani","Bangladesh"
"Commercial Space","2000","1","1","7","100000","10000",2022,"Residential","Corporate Office or MNC Office","Un-Furnished","120","30","150",NA,NA,"Banani","Bangladesh"
"Commercial Space","2350","1","1","4","100000","10000",2012,"Residential","Corporate Office or MNC Office","Un-Furnished","120","20","150",NA,NA,"Banani","Bangladesh"
"Commercial Space","2929","2","2","3","410060","43935",2020,"Commercial","Corporate Office or MNC Office","Un-Furnished","240","40","220",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","2200","1","2","4","100000","8000",2013,"Residential","Foreigner","Un-Furnished","120","24","160","3","3","Banani","Bangladesh"
"Residential Apartment","3300","1","2","1","130000","14000",2010,"Residential","Foreigner","Un-Furnished","120","24","250","3","4","Gulshan","Bangladesh"
"Residential Apartment","3400","1","1","5","165000","10000",2005,"Residential","Foreigner","Un-Furnished","120","24","250","3","3","Gulshan","Bangladesh"
"Commercial Space","7000","2","1","8","910000","56000",2020,"Commercial","Corporate Office or MNC Office","Furnished","240","40","550",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","3300","2","1","3","160000",NA,2010,"Residential","Foreigner","Un-Furnished","240","24","250","4","4","Gulshan","Bangladesh"
"Residential Apartment","5500","2","2","2","350000","30000",2013,"Residential","Foreigner","Un-Furnished","240","24","450","5","5","Gulshan","Bangladesh"
"Residential Apartment","3400","2","2","3","160000","18000",2010,"Residential","Foreigner","Semi-Furnished","240","24","260","4","4","Gulshan","Bangladesh"
"Residential Apartment","2200","1","2","9","110000","11000",2022,"Residential","Foreigner","Un-Furnished","120","16","150","4","4","Gulshan","Bangladesh"
"Residential Apartment","2700","2","1","1","120000","10000",2022,"Residential","Foreigner","Un-Furnished","240","24","150","4","4","Banani","Bangladesh"
"Residential Apartment","3500","1",NA,"1","270000",NA,2000,"Residential","Foreigner","Un-Furnished","120","16","250","5","5","Banani","Bangladesh"
"Residential Apartment","4400","2","2","4","160000","15000",2017,"Residential","Foreigner","Un-Furnished","240","16","350","4","4","Gulshan","Bangladesh"
"Residential Apartment","4200","2","2","1","180000","16000",2017,"Residential","Foreigner","Un-Furnished","240","20","350","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","4200","2","2","1","235000",NA,2014,"Residential","Foreigner","Un-Furnished","240","20","350","5","6","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","6000","2","2","4","400000",NA,2019,"Residential","Foreigner","Un-Furnished","240","20","450","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","2775","1","1","2","140000","12000",2018,"Residential","Foreigner","Un-Furnished","120","20","220","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","2200","1","2","1","100000","11000",2022,"Residential","Foreigner","Un-Furnished","120","16","160","3","3","Gulshan","Bangladesh"
"Commercial Space","4100","1","2","14","600000",NA,2019,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","20","350",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","4000","1","1","4","1000000",NA,2022,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","30","350",NA,NA,"Banani","Bangladesh"
"Commercial Space","2100","1","2","3","283500","28000",2022,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","25","150",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2200","1","1","4","100000","10000",2000,"Residential","Foreigner","Furnished","120","16","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","2200","1","2","1","100000","11000",2022,"Residential","Foreigner","Un-Furnished","120","16","160","3","3","Gulshan","Bangladesh"
"Residential Apartment","2100","1","2","2","105000","9000",2022,"Residential","Foreigner","Un-Furnished","120","16","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","2800","2","1","2","105000","10000",2005,"Residential","Foreigner","Un-Furnished","240","24","180","4","4","Gulshan","Bangladesh"
"Commercial Space","3600","1","2","9","360000","18000",2010,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","15","250",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","5600","1","1","4","392000",NA,2010,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","15","450",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","4500","2","3","19","495000",NA,2018,"Commercial","Corporate Office or MNC Office","Un-Furnished","240","25","350",NA,NA,"Banani","Bangladesh"
"Commercial Space","2200","1","1","3","330000",NA,2020,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","30","150",NA,NA,"Banani","Bangladesh"
"Commercial Space","3150","1","1","4","409500","40950",2016,"Commercial","Corporate Office or MNC Office","Furnished","120","30","250",NA,NA,"Banani","Bangladesh"
"Commercial Space","3700","2","2","8","555000","37000",2022,"Commercial","Corporate Office or MNC Office","Un-Furnished","240","30","250",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","2200","1","1","3","100000",NA,2010,"Residential & Commercial","Corporate Office or MNC Office","Un-Furnished","120","15","150",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","5200","1","2","3","624000",NA,2001,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","40","450",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","3200","2","4","12","416000","32000",2017,"Commercial","Corporate Office or MNC Office","Un-Furnished","240","40","250",NA,NA,"Banani","Bangladesh"
"Commercial Space","6000","2","2","14","690000","60000",2005,"Commercial","Corporate Office or MNC Office","Furnished","240","40","550",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","3285","1","2","4","295650","49275",2017,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","30","320",NA,NA,"Banani","Bangladesh"
"Commercial Space","5495","3","3","9","1044050","120890",2017,"Commercial","Corporate Office or MNC Office","Un-Furnished","360","40","450",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","2050","1","2","11","307500","30750",2016,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","30","250",NA,NA,"Banani","Bangladesh"
"Commercial Space","2500","2","4","5","412500","45000",2019,"Commercial","Corporate Office or MNC Office","Un-Furnished","240","30","150",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","5500","1","2","7","962500","55000",2017,"Commercial","Corporate Office or MNC Office","Un-Furnished","120","20","550",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","5671","3","3","6","1077490","102078",2017,"Commercial","Corporate Office","Un-Furnished","360","40","550",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","3900","2","2","1","360000",NA,2022,"Residential","Foreigner","Un-Furnished","240","16","350","4","4","Gulshan","Bangladesh"
"Residential Apartment","4200","2",NA,"1","200000","16000",2017,"Residential","Foreigner","Un-Furnished","120","20","450","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Commercial Space","5600","2","3","12","840000","84000",2018,"Commercial","Corporate Office or MNC Office","Un-Furnished","240","20","450",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","2100","1","1","3","120000","10000",2015,"Residential","Foreigner","Un-Furnished","120","30","400","3","3","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","2700","1","2","5","110000","10000",2017,"Residential","Foreigner","Un-Furnished","120","20","450","3","3","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","3900","2","2","1","310000",NA,2022,"Residential","Foreigner","Un-Furnished","240","16","350","4","4","Gulshan","Bangladesh"
"Commercial Space","4426","2","3","8","575380","44260",2016,"Commercial","Bank Space","Un-Furnished","240","40","450",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","2100","1","1",NA,"150000","10000",2015,"Residential","Foreigner","Un-Furnished","120","25","450","3","3","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","2100","1","1","3","100000","8500",2007,"Residential","Foreigner","Furnished","120","24","450","3","3","Gulshan","Bangladesh"
"Residential Apartment","2300","1","1","2","120000","8000",2020,"Residential","Foreigner","Un-Furnished","120","20","250","3","3","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","2300","1","2","7","110000",NA,2016,"Residential","Foreigner","Un-Furnished","120","24","400","3","3","Gulshan","Bangladesh"
"Residential Apartment","3500","2","2","6","210000",NA,2021,"Residential","Foreigner","Semi-Furnished","240","24","550","4","4","Gulshan","Bangladesh"
"Residential Apartment","4200","2","2","5","250000","14000",2016,"Residential","Foreigner","Semi-Furnished","240","16","650","4","4","Gulshan","Bangladesh"
"Residential Apartment","2400","1","1",NA,"200000",NA,2022,"Residential","Foreigner","Un-Furnished","120","16","450","3","3","Banani","Bangladesh"
"Residential Apartment","2050","1","2","6, 7 & 10","110000","8000",2022,"Residential","Foreigner","Un-Furnished","120","16","450","3","3","Banani","Bangladesh"
"Residential Apartment","1900","1","1","3","100000","7000",2000,"Residential","Foreigner","Furnished","120","16","300","3","3","Gulshan","Bangladesh"
"Residential Apartment","2000","1","2","4","100000","6000",2005,"Residential","Foreigner","Furnished","120","16","300","3","3","Gulshan","Bangladesh"
"Residential Apartment","3700","2","2",NA,"310000","20000",2017,"Residential","Foreigner or Local","Semi-Furnished","240","20","500","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","2200","1","2","3","100000","8000",2010,"Residential","Foreigner","Furnished","120","12","300","3","3","Banani","Bangladesh"
"Commercial Space","8000","2","1",NA,"800000",NA,2012,"Residential","Foreigner","Un-Furnished","240","20",NA,"4",NA,"Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","6500","3","1",NA,"650000",NA,2005,"Residential","Foreigner or Local","Un-Furnished","360","30","500","6","5","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","7000","3","2","0, 1 & 2","450000",NA,2007,"Residential",NA,"Un-Furnished","360","13","600","5","5","Gulshan","Bangladesh"
"Residential Apartment","2500","1","2","5","120000",NA,2018,"Residential",NA,"Semi-Furnished","120","15","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","3000","2","2","7","250000",NA,2013,"Residential",NA,"Furnished","240","25","450","3","4","Gulshan","Bangladesh"
"Residential Apartment","2600","2","2","11","165000","15000",2017,"Residential","Foreigner","Semi-Furnished","240","16","350","3","3","Gulshan","Bangladesh"
"Residential Apartment","1600","1","1",NA,"105000","7000",2000,"Residential","Foreigner","Un-Furnished","120","13","150","3","3","Baridhara Diplomatic Zone","Bangladesh"
"Commercial Space","3135","2","2","6, 7 & 8","391875","37620",2022,"Commercial","Corporate Office","Un-Furnished","240","60","350",NA,NA,"Banani","Bangladesh"
"Commercial Space","3600","2","2","4","756000","36000",2016,"Commercial","Corporate Office","Furnished","240","60","350",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2250","1","2","7","120000",NA,2016,"Residential",NA,"Un-Furnished","120","12","150","3","3","Gulshan","Bangladesh"
"Commercial Space","2450","1","1","7","140000","10000",2016,"Residential","Corporate Office","Un-Furnished","120","25","350",NA,NA,"Banani","Bangladesh"
"Commercial Space","3700","2","4","9","555000","30000",2015,"Residential","Corporate Office","Furnished","240","30","250",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2100","21","1","2","120000",NA,2012,"Residential",NA,"Un-Furnished","120","30","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","2300","1","2","7","125000",NA,2016,"Residential",NA,"Un-Furnished","120","12","150","3","3","Gulshan","Bangladesh"
"Commercial Space","7400","2","4","3","1110000","50000",2015,"Residential","Corporate Office","Furnished","240","30","250",NA,NA,"Banani","Bangladesh"
"Commercial Space","2450","2","2","2","125000","8500",2015,"Residential","Corporate Office or Small Office","Un-Furnished","240","20","150",NA,NA,"Banani","Bangladesh"
"Commercial Space","1600","1","1","4","100000","10000",2012,"Residential","Corporate Office or Small Office","Un-Furnished","120","20","150",NA,NA,"Banani","Bangladesh"
"Residential Apartment","3500","2","1","7","350000",NA,2022,"Residential",NA,"Furnished","240","25","450","3","3","Gulshan","Bangladesh"
"Residential Apartment","2150","1","2","8","165000",NA,2021,"Residential",NA,"Un-Furnished","120","12","150","3","3","Gulshan","Bangladesh"
"Commercial Space","4200","1","1","4 & 5","310000","20000",2019,"Residential","Corporate Office or Small Office","Un-Furnished","120","20","150",NA,NA,"Banani","Bangladesh"
"Residential Apartment","3500","2","2","6","230000",NA,2016,"Residential",NA,"Semi-Furnished","240","30","350","3","3","Gulshan","Bangladesh"
"Residential Apartment","2160","1","1","5","190000",NA,2022,"Residential",NA,"Furnished","120","12","250","3","3","Gulshan","Bangladesh"
"Residential Apartment","2150","1","2","2","35000000",NA,2020,"Residential","Family","Un-Furnished","150","50","150","3","3","Gulshan","Bangladesh"
"Commercial Space","2200","1","1","1","110000","12000",2017,"Residential","Corporate Office or Small Office","Un-Furnished","120","20","150",NA,NA,"Banani","Bangladesh"
"Residential Apartment","3000","2","2","9","200000",NA,2015,"Residential",NA,"Semi-Furnished","240","30","350","3","3","Gulshan","Bangladesh"
"Commercial Space","3900","1","3","5","507000","19500",2015,"Commercial","Corporate Office or Small Office","Furnished","150","40","250",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","3400","2","2",NA,"150000","15000",2017,"Residential","Family","Furnished","240","15","550","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","2667","1","1","3","33300000",NA,2004,"Residential",NA,"Un-Furnished","120","25","250","3","3","Gulshan","Bangladesh"
"Commercial Space","4100","2","2","6","265000",NA,2014,"Residential",NA,"Un-Furnished","240","12","750","4","4","Gulshan","Bangladesh"
"Residential Apartment","2200","1","1","6","125000",NA,2022,"Residential",NA,"Furnished","120","12","250","3","3","Gulshan","Bangladesh"
"Residential Apartment","2700","2","2",NA,"110000","13000",2019,"Residential","Family","Furnished","240","25","300","3","3","Banani","Bangladesh"
"Commercial Space","2300","1","1","6","120000","10000",2015,"Residential","Corporate Office or Small Office","Un-Furnished","120","20","150",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2560","1","1","5","50000000",NA,2010,"Residential",NA,"Un-Furnished","120","20","250","3","4","Gulshan","Bangladesh"
"Residential Apartment","4200","2","2","5","90000000",NA,2018,"Residential",NA,"Semi-Furnished","240","20","450","4","5","Gulshan","Bangladesh"
"Residential Apartment","2300","2","2",NA,"100000","8000",2017,"Residential","Family","Un-Furnished","240","20","280","3","3","Gulshan","Bangladesh"
"Residential Apartment","2400","1","1","2","42000000",NA,2010,"Residential",NA,"Un-Furnished","120","20","150","3","4","Gulshan","Bangladesh"
"Residential Apartment","3420","1","1","4 & 5","56500000",NA,2000,"Residential",NA,"Un-Furnished","120","20","350","4","5","Gulshan","Bangladesh"
"Residential Apartment","3300","1","1",NA,"110000","10000",2016,"Residential","Family","Semi-Furnished","120","20","350","4","4","Banani","Bangladesh"
"Residential Apartment","3200","1","2",NA,"130000","10000",2016,"Residential","Family","Semi-Furnished","240","15","480","3","3","Gulshan","Bangladesh"
"Residential Apartment","2600","1","2",NA,"110000","10000",2022,"Residential","Family","Un-Furnished","120","20","380","3","3","Gulshan","Bangladesh"
"Residential Apartment","2100","1","1","4","30000000",NA,2007,"Residential",NA,"Un-Furnished","120","20","250","3","4","Gulshan","Bangladesh"
"Residential Apartment","1723","2","2","4","42000000",NA,2014,"Residential",NA,"Un-Furnished","240","30","340","4","4","Banani","Bangladesh"
"Residential Apartment","2800","1","2",NA,"120000","8500",2018,"Residential","Family","Semi-Furnished","120","20","350","4","4","Banani","Bangladesh"
"Residential Apartment","3700","2","2",NA,"250000","20000",2017,"Residential","Family","Un-Furnished","240","15","550","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","3600","2","2",NA,"265000","15000",2017,"Residential","Family","Un-Furnished","240","15","550","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","4400","2","2",NA,"250000","25000",2018,"Residential","Family","Un-Furnished","350","60","480","3","4","Gulshan","Bangladesh"
"Residential Apartment","3000","2","2","4","40000000",NA,2013,"Residential",NA,"Un-Furnished","240","30","440","4","4","Banani","Bangladesh"
"Residential Apartment","4200","2","2",NA,"260000","14000",2018,"Residential","Family","Semi-Furnished","240","15","680","3","4","Gulshan","Bangladesh"
"Residential Apartment","1723","1","1","9","19000000",NA,2013,"Residential",NA,"Un-Furnished","120","15","140","3","4","Banani","Bangladesh"
"Residential Apartment","3300","2","1",NA,"320000","20000",2022,"Residential","Family","Un-Furnished","240","15","650","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","2700","1","2","6","30000000",NA,2014,"Residential",NA,"Un-Furnished","120","30","440","4","4","Banani","Bangladesh"
"Residential Apartment","2520","1","2","9","32500000",NA,2016,"Residential",NA,"Un-Furnished","120","20","240","3","4","Banani","Bangladesh"
"Residential Apartment","1950","1","1","4","22000000",NA,2009,"Residential",NA,"Un-Furnished","120","20","250","3","3","Banani","Bangladesh"
"Residential Apartment","3700","2","2",NA,"225000","20000",2018,"Residential","Family","Furnished","240","60","480","3","5","Gulshan","Bangladesh"
"Residential Apartment","2000","1","1","1, 5 & 6","26000000",NA,2022,"Residential",NA,"Un-Furnished","120","20","200","3","4","Banani","Bangladesh"
"Commercial Space","5900","2","2","9","944000",NA,2018,"Commercial","Corporate Office or MNC Office","Un-Furnished","240","60","750",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","3200","2","1","3","59200000",NA,2015,"Residential",NA,"Un-Furnished","240","40","750","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","3500","1","1","2","50000000",NA,2005,"Residential",NA,"Un-Furnished","120","40","350","3","4","Gulshan","Bangladesh"
"Residential Apartment","3200","2","1","7","60000000",NA,2014,"Residential",NA,"Un-Furnished","120","20","250","3","4","Gulshan","Bangladesh"
"Residential Apartment","3140","2","2","3","45000000",NA,2017,"Residential",NA,"Un-Furnished","240","20","350","4","5","Gulshan","Bangladesh"
"Residential Apartment","2165","1","2","7","30000000",NA,2020,"Residential",NA,"Un-Furnished","120","40","350","3","4","Gulshan","Bangladesh"
"Residential Apartment","2500","1","2","1","42000000",NA,2013,"Residential",NA,"Un-Furnished","120","20","250","3","4","Gulshan","Bangladesh"
"Residential Apartment","2450","2","2",NA,"130000","14000",2017,"Residential","Family","Furnished","250","16","300","4","4","Banani","Bangladesh"
"Residential Apartment","2700","2","1","14","170000","10000",2016,"Residential","Foreigner","Furnished","240","20","350","3","3","Gulshan","Bangladesh"
"Residential Apartment","2750","2","2","4","45000000",NA,2017,"Residential",NA,"Un-Furnished","240","16","300","3","3","Banani","Bangladesh"
"Residential Apartment","2200","1","2","13","125000","12000",2016,"Residential","Foreigner","Furnished","140","20","350","3","3","Gulshan","Bangladesh"
"Commercial Space","3200","2","1","4","180000","10000",2011,"Residential","Corporate Office or Small Office","Un-Furnished","250","20","350",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","5800","2","2","10","600000",NA,2018,"Residential",NA,"Furnished","300","40","950","4","5","Gulshan","Bangladesh"
"Residential Apartment","2773","2","2","6","40000000",NA,2014,"Residential",NA,"Un-Furnished","240","15","350","4","5","Banani","Bangladesh"
"Residential Apartment","4400","2","2","10","82000000",NA,2016,"Residential",NA,"Un-Furnished","240","15","350","4","4","Gulshan","Bangladesh"
"Residential Apartment","3000","2","2","4","41000000",NA,2014,"Residential",NA,"Un-Furnished","240","20","350","4","4","Banani","Bangladesh"
"Residential Apartment","8500","2","3","10 & 11","220000000",NA,2017,"Residential",NA,"Un-Furnished","240","20","650","5","6","Gulshan","Bangladesh"
"Commercial Space","5900","2","2","4 & 5","944000","59000",2018,"Commercial","Corporate Office or MNC Office","Furnished","350","60","300",NA,NA,"Banani","Bangladesh"
"Residential Apartment","4000","2","2","7","350000",NA,2017,"Residential",NA,"Un-Furnished","240","12","750","3","4","Gulshan","Bangladesh"
"Residential Apartment","2400","1","1",NA,"100000","8000",2015,"Residential","Family","Un-Furnished","120","12","250","3","3","Banani","Bangladesh"
"Commercial Space","7500","2","4","5 & 6","1050000",NA,2021,"Commercial","Corporate Office or MNC Office","Un-Furnished","240","60","750",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","2200","1","1",NA,"100000","10000",2015,"Residential","Family","Un-Furnished","120","12","250","3","3","Banani","Bangladesh"
"Commercial Space","2200","1","1","7","319000","26400",2019,"Commercial","Corporate Office or Small Office","Un-Furnished","150","40","250",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2400","1","1","5","120000","10000",2015,"Residential","Foreigner","Furnished","120","20","350","3","3","Gulshan","Bangladesh"
